Trial,Direction,Coherence,Response,ResponseCode,ResponseCorrect,stairCase
1,0,-0.05,j,0,1,low
2,0,-0.95,j,0,1,high
3,180,0.01,j,0,0,low
4,0,-0.90,j,0,1,high
5,180,0.06,j,0,0,low
6,180,0.85,f,1,1,high
7,180,0.80,f,1,1,high
8,180,0.11,j,0,0,low
9,0,-0.16,j,0,1,low
10,0,-0.75,j,0,1,high
11,0,-0.12,j,0,1,low
12,180,0.70,f,1,1,high
13,180,0.08,j,0,0,low
14,0,-0.65,f,1,0,high
15,0,-0.12,j,0,1,low
16,0,-0.70,j,0,1,high
17,180,0.66,j,0,0,high
18,180,0.09,f,1,1,low
19,180,0.70,j,0,0,high
20,180,0.06,f,1,1,low
21,0,-0.03,j,0,1,low
22,180,0.74,j,0,0,high
23,180,0.78,j,0,0,high
24,180,0.01,f,1,1,low
25,180,0.82,j,0,0,high
26,180,0.01,j,0,0,low
