Trial,Direction,Coherence,ResponseCode,ResponseCorrect,Condition,VP,Thresholdf
1,0,-0.70,f,1,1,101,0.15
2,180,0.70,f,1,1,101,0.15
3,0,-0.70,j,0,1,101,0.15
4,0,-0.70,j,0,1,101,0.15
5,0,-0.70,j,0,1,101,0.15
6,180,0.70,f,1,1,101,0.15
7,180,0.70,j,0,1,101,0.15
8,0,-0.70,j,0,1,101,0.15
9,180,0.70,f,1,1,101,0.15
10,180,0.70,f,1,1,101,0.15
11,0,-0.70,f,1,1,101,0.15
12,0,-0.70,f,1,1,101,0.15
13,0,-0.70,f,1,1,101,0.15
14,0,-0.70,f,1,1,101,0.15
15,180,0.70,f,1,1,101,0.15
16,0,-0.70,j,0,1,101,0.15
17,180,0.70,f,1,1,101,0.15
18,0,-0.70,e,1,1,101,0.15
