Trial,Direction,Coherence,Response,ResponseCode,ResponseCorrect,Condition,VP,Thresholdf
1,0,-0.09,j,0,1,1,101,0.15
2,180,0.09,f,1,1,1,101,0.15
3,0,-0.09,j,0,1,1,101,0.15
4,0,-0.09,j,0,1,1,101,0.15
5,180,0.09,f,1,1,1,101,0.15
6,180,0.09,f,1,1,1,101,0.15
7,180,0.09,j,0,0,1,101,0.15
8,0,-0.09,j,0,1,1,101,0.15
9,0,-0.09,f,1,0,1,101,0.15
10,0,-0.09,j,0,1,1,101,0.15
11,180,0.09,j,0,0,1,101,0.15
12,180,0.09,f,1,1,1,101,0.15
13,0,-0.09,j,0,1,1,101,0.15
14,180,0.09,f,1,1,1,101,0.15
15,180,0.09,j,0,0,1,101,0.15
16,180,0.09,j,0,0,1,101,0.15
17,0,-0.09,f,1,0,1,101,0.15
18,0,-0.09,j,0,1,1,101,0.15
19,0,-0.09,j,0,1,1,101,0.15
20,180,0.09,e,0,0,1,101,0.15
