Trial,Direction,Coherence,Response,ResponseCode,ResponseCorrect,ReactionTime,Condition,VP,Threshold
1,180,0.09,f,1,1,0.51,1.00,101,0.15
2,180,0.09,j,0,0,0.40,1.00,101,0.15
3,0,-0.09,j,0,1,0.45,1.00,101,0.15
4,180,0.09,f,1,1,0.53,1.00,101,0.15
5,180,0.09,f,1,1,0.45,1.00,101,0.15
6,180,0.09,f,1,1,0.48,1.00,101,0.15
7,0,-0.09,j,0,1,0.33,1.00,101,0.15
8,180,0.09,j,0,0,0.30,1.00,101,0.15
9,180,0.09,j,0,0,0.88,1.00,101,0.15
10,180,0.09,f,1,1,0.55,1.00,101,0.15
11,180,0.09,f,1,1,0.99,1.00,101,0.15
12,0,-0.09,j,0,1,0.89,1.00,101,0.15
13,180,0.09,f,1,1,1.10,1.00,101,0.15
14,0,-0.09,j,0,1,0.92,1.00,101,0.15
15,0,-0.09,f,1,0,1.20,1.00,101,0.15
16,180,0.09,j,0,0,1.05,1.00,101,0.15
17,180,0.09,f,1,1,0.87,1.00,101,0.15
18,180,0.09,f,1,1,0.99,1.00,101,0.15
19,0,-0.09,j,0,1,0.88,1.00,101,0.15
20,180,0.09,e,0,0,0.31,1.00,101,0.15
