Trial,Direction,Coherence,Response,ResponseCode,ResponseCorrect,ReactionTime,Condition,VP,Threshold
1,0,-0.18,j,0,1,0.62,2.00,101,0.09
2,180,0.18,f,1,1,0.48,2.00,101,0.09
3,180,0.18,f,1,1,0.48,2.00,101,0.09
4,0,-0.18,j,0,1,0.51,2.00,101,0.09
5,180,0.18,f,1,1,0.45,2.00,101,0.09
6,180,0.18,j,0,0,0.41,2.00,101,0.09
7,0,-0.18,j,0,1,0.48,2.00,101,0.09
8,0,-0.18,j,0,1,0.58,2.00,101,0.09
9,180,0.18,f,1,1,0.60,2.00,101,0.09
10,0,-0.18,j,0,1,0.52,2.00,101,0.09
11,0,-0.18,j,0,1,0.47,2.00,101,0.09
12,0,-0.18,j,0,1,0.55,2.00,101,0.09
13,0,-0.18,j,0,1,0.45,2.00,101,0.09
14,0,-0.18,f,1,0,0.98,2.00,101,0.09
15,0,-0.18,j,0,1,0.55,2.00,101,0.09
16,180,0.18,f,1,1,0.50,2.00,101,0.09
17,180,0.18,f,1,1,0.57,2.00,101,0.09
18,180,0.18,f,1,1,0.53,2.00,101,0.09
19,0,-0.18,j,0,1,0.47,2.00,101,0.09
20,180,0.18,f,1,1,0.46,2.00,101,0.09
21,0,-0.18,j,0,1,0.48,2.00,101,0.09
22,0,-0.18,j,0,1,0.60,2.00,101,0.09
23,180,0.18,f,1,1,0.48,2.00,101,0.09
24,0,-0.18,j,0,1,0.53,2.00,101,0.09
25,0,-0.18,j,0,1,0.78,2.00,101,0.09
26,180,0.18,f,1,1,0.41,2.00,101,0.09
27,180,0.18,f,1,1,0.50,2.00,101,0.09
28,0,-0.18,j,0,1,0.43,2.00,101,0.09
29,180,0.18,f,1,1,0.67,2.00,101,0.09
30,180,0.18,f,1,1,0.60,2.00,101,0.09
31,0,-0.18,j,0,1,0.58,2.00,101,0.09
32,180,0.18,f,1,1,0.56,2.00,101,0.09
33,180,0.18,f,1,1,0.56,2.00,101,0.09
34,180,0.18,f,1,1,0.48,2.00,101,0.09
35,180,0.18,f,1,1,0.48,2.00,101,0.09
36,180,0.18,f,1,1,0.53,2.00,101,0.09
37,180,0.18,f,1,1,0.48,2.00,101,0.09
38,0,-0.18,j,0,1,0.51,2.00,101,0.09
39,180,0.18,f,1,1,0.46,2.00,101,0.09
40,180,0.18,f,1,1,0.45,2.00,101,0.09
41,0,-0.18,j,0,1,0.53,2.00,101,0.09
42,180,0.18,f,1,1,0.53,2.00,101,0.09
43,0,-0.18,j,0,1,0.50,2.00,101,0.09
44,180,0.18,f,1,1,0.47,2.00,101,0.09
45,180,0.18,f,1,1,0.50,2.00,101,0.09
46,180,0.18,f,1,1,0.48,2.00,101,0.09
47,0,-0.18,j,0,1,0.45,2.00,101,0.09
48,180,0.18,f,1,1,0.55,2.00,101,0.09
49,0,-0.18,j,0,1,0.61,2.00,101,0.09
50,0,-0.18,j,0,1,0.62,2.00,101,0.09
51,180,0.18,f,1,1,0.63,2.00,101,0.09
52,0,-0.18,j,0,1,0.63,2.00,101,0.09
53,0,-0.18,j,0,1,0.53,2.00,101,0.09
54,180,0.18,f,1,1,0.48,2.00,101,0.09
55,0,-0.18,j,0,1,0.55,2.00,101,0.09
56,180,0.18,f,1,1,0.45,2.00,101,0.09
57,180,0.18,j,0,0,0.66,2.00,101,0.09
58,0,-0.18,j,0,1,0.56,2.00,101,0.09
59,180,0.18,f,1,1,0.52,2.00,101,0.09
60,0,-0.18,j,0,1,0.50,2.00,101,0.09
61,0,-0.18,j,0,1,0.52,2.00,101,0.09
62,180,0.18,f,1,1,0.48,2.00,101,0.09
63,180,0.18,f,1,1,0.61,2.00,101,0.09
64,0,-0.18,j,0,1,0.52,2.00,101,0.09
65,180,0.18,f,1,1,0.50,2.00,101,0.09
66,0,-0.18,j,0,1,0.50,2.00,101,0.09
67,180,0.18,f,1,1,0.48,2.00,101,0.09
68,0,-0.18,j,0,1,0.45,2.00,101,0.09
69,0,-0.18,j,0,1,0.70,2.00,101,0.09
70,180,0.18,f,1,1,0.41,2.00,101,0.09
71,0,-0.18,j,0,1,0.50,2.00,101,0.09
72,0,-0.18,j,0,1,0.45,2.00,101,0.09
73,0,-0.18,j,0,1,0.52,2.00,101,0.09
74,0,-0.18,j,0,1,0.48,2.00,101,0.09
75,0,-0.18,f,1,0,0.77,2.00,101,0.09
76,0,-0.18,j,0,1,0.58,2.00,101,0.09
77,0,-0.18,j,0,1,0.50,2.00,101,0.09
78,180,0.18,f,1,1,0.55,2.00,101,0.09
79,0,-0.18,j,0,1,0.55,2.00,101,0.09
80,180,0.18,f,1,1,0.48,2.00,101,0.09
81,0,-0.18,j,0,1,0.48,2.00,101,0.09
82,180,0.18,f,1,1,0.45,2.00,101,0.09
83,180,0.18,f,1,1,0.45,2.00,101,0.09
84,180,0.18,j,0,0,0.83,2.00,101,0.09
85,180,0.18,f,1,1,0.53,2.00,101,0.09
86,180,0.18,f,1,1,0.45,2.00,101,0.09
87,180,0.18,f,1,1,0.43,2.00,101,0.09
88,0,-0.18,j,0,1,0.51,2.00,101,0.09
89,180,0.18,f,1,1,0.43,2.00,101,0.09
90,180,0.18,f,1,1,0.55,2.00,101,0.09
91,0,-0.18,j,0,1,0.93,2.00,101,0.09
92,0,-0.18,f,1,0,0.68,2.00,101,0.09
93,180,0.18,f,1,1,0.51,2.00,101,0.09
94,0,-0.18,j,0,1,0.38,2.00,101,0.09
95,180,0.18,f,1,1,0.50,2.00,101,0.09
96,180,0.18,f,1,1,0.55,2.00,101,0.09
97,0,-0.18,j,0,1,0.45,2.00,101,0.09
98,0,-0.18,f,1,0,0.63,2.00,101,0.09
99,0,-0.18,f,1,0,0.75,2.00,101,0.09
100,0,-0.18,j,0,1,0.48,2.00,101,0.09
101,180,0.09,f,1,1,0.55,2.00,101,0.09
102,0,-0.09,j,0,1,0.45,2.00,101,0.09
103,180,0.09,f,1,1,0.43,2.00,101,0.09
104,0,-0.09,j,0,1,0.46,2.00,101,0.09
105,180,0.09,f,1,1,0.50,2.00,101,0.09
106,0,-0.09,j,0,1,0.48,2.00,101,0.09
107,180,0.09,f,1,1,0.43,2.00,101,0.09
108,180,0.09,f,1,1,0.52,2.00,101,0.09
109,180,0.09,f,1,1,0.48,2.00,101,0.09
110,180,0.09,j,0,0,0.63,2.00,101,0.09
111,0,-0.09,j,0,1,0.42,2.00,101,0.09
112,180,0.09,f,1,1,0.36,2.00,101,0.09
113,0,-0.09,j,0,1,0.40,2.00,101,0.09
114,180,0.09,f,1,1,0.45,2.00,101,0.09
115,0,-0.09,j,0,1,0.68,2.00,101,0.09
116,0,-0.09,f,1,0,0.41,2.00,101,0.09
117,180,0.09,f,1,1,0.46,2.00,101,0.09
118,180,0.09,j,0,0,0.51,2.00,101,0.09
119,0,-0.09,NA,2,0,999.00,2.00,101,0.09
120,180,0.09,f,1,1,0.61,2.00,101,0.09
121,0,-0.09,j,0,1,0.51,2.00,101,0.09
122,0,-0.09,j,0,1,0.46,2.00,101,0.09
123,180,0.09,f,1,1,0.52,2.00,101,0.09
124,0,-0.09,j,0,1,0.66,2.00,101,0.09
125,0,-0.09,j,0,1,0.63,2.00,101,0.09
126,180,0.09,f,1,1,0.48,2.00,101,0.09
127,0,-0.09,j,0,1,0.45,2.00,101,0.09
128,0,-0.09,j,0,1,0.55,2.00,101,0.09
129,180,0.09,f,1,1,0.48,2.00,101,0.09
130,0,-0.09,j,0,1,0.50,2.00,101,0.09
131,180,0.09,f,1,1,0.48,2.00,101,0.09
132,180,0.09,f,1,1,0.46,2.00,101,0.09
133,0,-0.09,j,0,1,0.41,2.00,101,0.09
134,180,0.09,j,0,0,0.67,2.00,101,0.09
135,0,-0.09,j,0,1,0.50,2.00,101,0.09
136,0,-0.09,f,1,0,0.72,2.00,101,0.09
137,180,0.09,f,1,1,0.52,2.00,101,0.09
138,180,0.09,j,0,0,0.66,2.00,101,0.09
139,0,-0.09,j,0,1,0.65,2.00,101,0.09
140,0,-0.09,j,0,1,0.60,2.00,101,0.09
141,0,-0.09,j,0,1,0.53,2.00,101,0.09
142,0,-0.09,j,0,1,0.55,2.00,101,0.09
143,0,-0.09,f,1,0,0.68,2.00,101,0.09
144,0,-0.09,f,1,0,0.53,2.00,101,0.09
