Trial,Direction,Coherence,Response,ResponseCode,ResponseCorrect,ReactionTime,Condition,VP,Threshold
1,0,-0.25,j,0,1,0.66,1.00,giamac,0.25
2,180,0.25,j,0,0,1.08,1.00,giamac,0.25
3,0,-0.25,f,1,0,1.03,1.00,giamac,0.25
4,180,0.25,j,0,0,0.75,1.00,giamac,0.25
5,0,-0.25,j,0,1,0.50,1.00,giamac,0.25
6,180,0.25,j,0,0,0.53,1.00,giamac,0.25
7,0,-0.25,j,0,1,0.58,1.00,giamac,0.25
8,180,0.25,j,0,0,0.57,1.00,giamac,0.25
9,0,-0.25,j,0,1,0.50,1.00,giamac,0.25
10,0,-0.25,j,0,1,0.43,1.00,giamac,0.25
11,180,0.25,j,0,0,0.47,1.00,giamac,0.25
12,180,0.25,j,0,0,0.52,1.00,giamac,0.25
13,0,-0.25,f,1,0,0.43,1.00,giamac,0.25
14,180,0.25,j,0,0,0.67,1.00,giamac,0.25
15,180,0.25,f,1,1,0.60,1.00,giamac,0.25
16,0,-0.25,j,0,1,0.47,1.00,giamac,0.25
17,180,0.25,j,0,0,0.60,1.00,giamac,0.25
18,180,0.25,f,1,1,0.58,1.00,giamac,0.25
19,0,-0.25,j,0,1,0.70,1.00,giamac,0.25
20,180,0.25,j,0,0,0.65,1.00,giamac,0.25
21,0,-0.25,j,0,1,0.62,1.00,giamac,0.25
22,0,-0.25,j,0,1,0.58,1.00,giamac,0.25
23,0,-0.25,f,1,0,0.83,1.00,giamac,0.25
24,180,0.25,j,0,0,0.73,1.00,giamac,0.25
25,180,0.25,j,0,0,0.87,1.00,giamac,0.25
26,0,-0.25,j,0,1,0.43,1.00,giamac,0.25
27,0,-0.25,j,0,1,0.50,1.00,giamac,0.25
28,0,-0.25,j,0,1,0.50,1.00,giamac,0.25
29,180,0.25,j,0,0,0.67,1.00,giamac,0.25
30,180,0.25,f,1,1,0.42,1.00,giamac,0.25
31,180,0.25,j,0,0,0.52,1.00,giamac,0.25
32,180,0.25,f,1,1,0.69,1.00,giamac,0.25
33,180,0.25,j,0,0,0.50,1.00,giamac,0.25
34,0,-0.25,j,0,1,0.47,1.00,giamac,0.25
35,0,-0.25,j,0,1,0.45,1.00,giamac,0.25
36,180,0.25,j,0,0,0.45,1.00,giamac,0.25
37,0,-0.25,j,0,1,0.47,1.00,giamac,0.25
38,0,-0.25,j,0,1,0.52,1.00,giamac,0.25
39,0,-0.25,j,0,1,0.48,1.00,giamac,0.25
40,180,0.25,j,0,0,0.42,1.00,giamac,0.25
41,0,-0.25,j,0,1,0.42,1.00,giamac,0.25
42,0,-0.25,f,1,0,0.75,1.00,giamac,0.25
43,180,0.25,f,1,1,0.57,1.00,giamac,0.25
44,180,0.25,j,0,0,0.58,1.00,giamac,0.25
45,0,-0.25,j,0,1,0.53,1.00,giamac,0.25
46,0,-0.25,j,0,1,0.51,1.00,giamac,0.25
47,180,0.25,f,1,1,0.42,1.00,giamac,0.25
48,180,0.25,j,0,0,0.60,1.00,giamac,0.25
49,0,-0.25,j,0,1,0.57,1.00,giamac,0.25
50,180,0.25,j,0,0,0.43,1.00,giamac,0.25
51,180,0.25,j,0,0,0.53,1.00,giamac,0.25
52,0,-0.25,f,1,0,0.41,1.00,giamac,0.25
53,0,-0.25,f,1,0,0.48,1.00,giamac,0.25
54,0,-0.25,j,0,1,0.67,1.00,giamac,0.25
55,180,0.25,j,0,0,0.50,1.00,giamac,0.25
56,180,0.25,j,0,0,0.50,1.00,giamac,0.25
57,0,-0.25,j,0,1,0.50,1.00,giamac,0.25
58,180,0.25,f,1,1,0.50,1.00,giamac,0.25
59,0,-0.25,j,0,1,0.52,1.00,giamac,0.25
60,0,-0.25,j,0,1,0.42,1.00,giamac,0.25
61,0,-0.25,j,0,1,0.45,1.00,giamac,0.25
62,0,-0.25,j,0,1,0.40,1.00,giamac,0.25
63,0,-0.25,j,0,1,0.38,1.00,giamac,0.25
64,0,-0.25,j,0,1,0.40,1.00,giamac,0.25
65,180,0.25,f,1,1,0.55,1.00,giamac,0.25
66,0,-0.25,j,0,1,0.48,1.00,giamac,0.25
67,0,-0.25,j,0,1,0.62,1.00,giamac,0.25
68,180,0.25,f,1,1,0.56,1.00,giamac,0.25
69,0,-0.25,j,0,1,0.45,1.00,giamac,0.25
70,180,0.25,j,0,0,0.62,1.00,giamac,0.25
71,0,-0.25,j,0,1,0.50,1.00,giamac,0.25
72,180,0.25,f,1,1,0.68,1.00,giamac,0.25
73,0,-0.25,j,0,1,0.53,1.00,giamac,0.25
74,180,0.25,f,1,1,0.63,1.00,giamac,0.25
75,180,0.25,j,0,0,0.58,1.00,giamac,0.25
76,180,0.25,f,1,1,0.80,1.00,giamac,0.25
77,180,0.25,f,1,1,0.65,1.00,giamac,0.25
78,180,0.25,j,0,0,0.72,1.00,giamac,0.25
79,180,0.25,j,0,0,0.55,1.00,giamac,0.25
80,0,-0.25,j,0,1,0.50,1.00,giamac,0.25
81,180,0.25,f,1,1,0.67,1.00,giamac,0.25
82,0,-0.25,j,0,1,0.47,1.00,giamac,0.25
83,180,0.25,f,1,1,0.55,1.00,giamac,0.25
84,180,0.25,j,0,0,0.77,1.00,giamac,0.25
85,180,0.25,f,1,1,0.62,1.00,giamac,0.25
86,0,-0.25,j,0,1,0.55,1.00,giamac,0.25
87,180,0.25,f,1,1,0.63,1.00,giamac,0.25
88,180,0.25,j,0,0,0.50,1.00,giamac,0.25
89,0,-0.25,j,0,1,0.57,1.00,giamac,0.25
90,180,0.25,f,1,1,0.40,1.00,giamac,0.25
91,0,-0.25,j,0,1,0.35,1.00,giamac,0.25
92,180,0.25,f,1,1,0.40,1.00,giamac,0.25
93,0,-0.25,j,0,1,0.41,1.00,giamac,0.25
94,0,-0.25,j,0,1,0.40,1.00,giamac,0.25
95,0,-0.25,j,0,1,0.53,1.00,giamac,0.25
