Trial,Direction,Coherence,Response,ResponseCode,ResponseCorrect,ReactionTime,Condition,VP,Threshold
1,0,-0.15,j,0,1,0.77,1.00,test123,0.15
2,0,-0.15,j,0,1,0.00,1.00,test123,0.15
3,180,0.15,f,1,1,0.58,1.00,test123,0.15
4,0,-0.15,j,0,1,0.57,1.00,test123,0.15
5,180,0.15,j,0,0,0.60,1.00,test123,0.15
6,180,0.15,f,1,1,0.50,1.00,test123,0.15
7,180,0.15,j,0,0,0.60,1.00,test123,0.15
8,0,-0.15,f,1,0,0.51,1.00,test123,0.15
9,0,-0.15,f,1,0,0.67,1.00,test123,0.15
10,0,-0.15,j,0,1,0.50,1.00,test123,0.15
11,180,0.15,j,0,0,0.61,1.00,test123,0.15
12,0,-0.15,f,1,0,0.33,1.00,test123,0.15
13,180,0.15,j,0,0,0.35,1.00,test123,0.15
14,180,0.15,f,1,1,0.31,1.00,test123,0.15
15,0,-0.15,j,0,1,0.52,1.00,test123,0.15
16,0,-0.15,f,1,0,0.26,1.00,test123,0.15
17,0,-0.15,e,2,0,0.71,1.00,test123,0.15
