Trial,Direction,Coherence,Response,ResponseCode,ResponseCorrect,stairCase
1,0,-0.95,j,0,1,high
2,0,-0.05,j,0,1,low
3,180,0.01,f,1,1,low
4,180,0.90,f,1,1,high
5,0,-0.01,j,0,1,low
6,0,-0.85,j,0,1,high
7,180,0.80,f,1,1,high
8,180,0.01,j,0,0,low
9,0,-0.06,f,1,0,low
10,180,0.75,f,1,1,high
11,180,0.70,f,1,1,high
12,0,-0.11,j,0,1,low
13,0,-0.07,f,1,0,low
14,0,-0.65,j,0,1,high
15,0,-0.60,j,0,1,high
16,0,-0.11,f,1,0,low
17,0,-0.15,f,1,0,low
18,180,0.55,f,1,1,high
19,0,-0.19,j,0,1,low
20,0,-0.50,j,0,1,high
21,180,0.16,f,1,1,low
22,0,-0.45,j,0,1,high
23,180,0.13,f,1,1,low
24,180,0.40,f,1,1,high
25,0,-0.35,j,0,1,high
26,0,-0.10,j,0,1,low
27,180,0.07,f,1,1,low
28,180,0.30,f,1,1,high
29,180,0.04,j,0,0,low
30,0,-0.25,j,0,1,high
31,180,0.07,f,1,1,low
32,180,0.20,f,1,1,high
33,0,-0.15,j,0,1,high
34,180,0.05,j,0,0,low
35,0,-0.07,j,0,1,low
36,180,0.10,f,1,1,high
37,0,-0.06,f,1,0,low
38,180,0.05,j,0,0,high
39,0,-0.10,j,0,1,high
40,0,-0.07,f,1,0,low
41,180,0.06,f,1,1,high
42,180,0.08,f,1,1,low
43,180,0.02,f,1,1,high
44,0,-0.07,j,0,1,low
45,180,0.06,f,1,1,low
46,180,0.01,f,1,1,high
47,180,0.01,f,1,1,high
48,180,0.05,f,1,1,low
49,180,0.01,j,0,0,high
50,180,0.04,f,1,1,low
51,0,-0.03,j,0,1,low
52,180,0.05,f,1,1,high
53,180,0.02,f,1,1,low
54,180,0.02,f,1,1,high
55,180,0.01,j,0,0,low
56,0,-0.01,j,0,1,high
57,180,0.02,f,1,1,low
58,180,0.01,j,0,0,high
59,180,0.04,f,1,1,high
60,0,-0.01,j,0,1,low
61,0,-0.02,j,0,1,high
62,0,-0.01,f,1,0,low
63,0,-0.02,j,0,1,low
64,180,0.01,f,1,1,high
65,180,0.01,j,0,0,high
66,180,0.01,j,0,0,low
67,0,-0.02,j,0,1,low
68,180,0.03,f,1,1,high
69,180,0.01,f,1,1,low
70,180,0.02,f,1,1,high
71,180,0.01,j,0,0,low
72,0,-0.01,f,1,0,high
73,0,-0.02,f,1,0,high
74,180,0.02,j,0,0,low
75,180,0.03,f,1,1,low
76,0,-0.03,f,1,0,high
77,0,-0.04,f,1,0,high
78,0,-0.02,j,0,1,low
79,180,0.01,f,1,1,low
80,0,-0.05,f,1,0,high
81,0,-0.06,j,0,1,high
82,180,0.01,f,1,1,low
83,0,-0.05,f,1,0,high
84,0,-0.01,f,1,0,low
85,0,-0.06,j,0,1,high
86,180,0.02,f,1,1,low
87,0,-0.05,j,0,1,high
88,180,0.01,j,0,0,low
89,180,0.02,f,1,1,low
90,0,-0.04,f,1,0,high
91,0,-0.01,f,1,0,low
92,180,0.05,f,1,1,high
93,180,0.04,f,1,1,high
94,0,-0.02,f,1,0,low
95,0,-0.03,f,1,0,low
96,180,0.03,f,1,1,high
97,180,0.04,f,1,1,low
98,180,0.02,f,1,1,high
99,0,-0.01,f,1,0,high
100,180,0.03,f,1,1,low
101,180,0.02,j,0,0,high
102,180,0.02,f,1,1,low
103,180,0.01,j,0,0,low
104,180,0.03,f,1,1,high
105,0,-0.02,f,1,0,low
106,180,0.02,f,1,1,high
107,0,-0.03,f,1,0,low
108,180,0.01,f,1,1,high
109,180,0.04,f,1,1,low
110,0,-0.01,j,0,1,high
111,0,-0.01,j,0,1,high
112,180,0.03,f,1,1,low
113,180,0.02,j,0,0,low
114,0,-0.01,j,0,1,high
115,180,0.03,f,1,1,low
116,180,0.01,f,1,1,high
117,0,-0.02,f,1,0,low
118,0,-0.01,f,1,0,high
119,0,-0.02,f,1,0,high
120,0,-0.03,f,1,0,low
121,180,0.03,f,1,1,high
122,0,-0.04,j,0,1,low
123,0,-0.03,j,0,1,low
124,0,-0.02,j,0,1,high
125,180,0.02,f,1,1,low
126,180,0.01,f,1,1,high
127,180,0.01,j,0,0,high
128,0,-0.01,f,1,0,low
129,0,-0.02,f,1,0,high
130,0,-0.02,j,0,1,low
131,0,-0.01,j,0,1,low
132,180,0.03,f,1,1,high
133,0,-0.01,f,1,0,low
134,180,0.02,f,1,1,high
135,180,0.01,j,0,0,high
136,180,0.02,f,1,1,low
137,180,0.02,f,1,1,high
138,0,-0.01,j,0,1,low
139,0,-0.01,f,1,0,high
140,180,0.01,f,1,1,low
141,180,0.01,f,1,1,low
142,0,-0.02,j,0,1,high
143,180,0.01,j,0,0,high
144,0,-0.01,f,1,0,low
145,0,-0.02,j,0,1,high
146,180,0.02,j,0,0,low
147,180,0.03,j,0,0,low
148,0,-0.01,j,0,1,high
149,0,-0.01,f,1,0,high
150,180,0.04,f,1,1,low
151,180,0.02,j,0,0,high
152,180,0.03,f,1,1,low
153,0,-0.03,j,0,1,high
154,0,-0.02,j,0,1,low
155,0,-0.02,j,0,1,high
