Trial,Direction,Coherence,Response,ResponseCode,ResponseCorrect,stairCase
1,180,0.05,j,0,0,low
2,0,0.95,j,0,1,high
3,0,0.90,f,1,0,high
4,180,0.10,f,1,1,low
5,180,0.95,f,1,1,high
6,0,0.05,j,0,1,low
7,180,0.95,f,1,1,high
8,0,0.05,f,1,0,low
9,0,0.09,j,0,1,low
10,0,0.91,j,0,1,high
11,0,0.09,f,1,0,low
12,0,0.91,j,0,1,high
13,180,0.87,f,1,1,high
14,0,0.13,j,0,1,low
15,180,0.87,f,1,1,high
16,180,0.13,f,1,1,low
17,0,0.09,j,0,1,low
18,180,0.83,f,1,1,high
19,180,0.09,f,1,1,low
20,0,0.83,j,0,1,high
21,180,0.79,f,1,1,high
22,0,0.05,j,0,1,low
23,0,0.79,j,0,1,high
24,180,0.05,f,1,1,low
25,180,0.01,j,0,0,low
26,0,0.75,j,0,1,high
27,0,0.04,f,1,0,low
28,0,0.75,j,0,1,high
29,0,0.71,j,0,1,high
30,180,0.07,f,1,1,low
31,0,0.07,j,0,1,low
32,180,0.71,f,1,1,high
33,0,0.67,j,0,1,high
34,0,0.04,j,0,1,low
35,0,0.04,f,1,0,low
36,0,0.67,j,0,1,high
37,180,0.63,f,1,1,high
38,180,0.06,j,0,0,low
39,180,0.08,j,0,0,low
40,180,0.63,f,1,1,high
41,0,0.59,j,0,1,high
42,180,0.10,f,1,1,low
43,180,0.59,f,1,1,high
44,0,0.10,j,0,1,low
45,0,0.08,f,1,0,low
46,0,0.55,j,0,1,high
47,0,0.55,j,0,1,high
48,180,0.09,f,1,1,low
49,180,0.09,f,1,1,low
50,0,0.51,j,0,1,high
51,180,0.08,f,1,1,low
52,0,0.51,j,0,1,high
53,180,0.08,f,1,1,low
54,0,0.47,j,0,1,high
55,180,0.47,f,1,1,high
56,0,0.07,j,0,1,low
57,0,0.43,j,0,1,high
58,0,0.07,f,1,0,low
59,0,0.43,j,0,1,high
60,180,0.08,f,1,1,low
61,180,0.39,f,1,1,high
62,180,0.08,f,1,1,low
63,180,0.07,f,1,1,low
64,180,0.39,f,1,1,high
65,0,0.07,j,0,1,low
66,180,0.35,f,1,1,high
67,0,0.06,j,0,1,low
68,180,0.35,f,1,1,high
69,180,0.31,f,1,1,high
70,0,0.06,f,1,0,low
71,180,0.07,f,1,1,low
72,180,0.31,f,1,1,high
73,0,0.27,j,0,1,high
74,180,0.07,f,1,1,low
75,180,0.27,f,1,1,high
76,0,0.06,f,1,0,low
77,180,0.23,f,1,1,high
78,180,0.07,f,1,1,low
79,180,0.07,f,1,1,low
80,0,0.23,j,0,1,high
81,180,0.19,j,0,0,high
82,0,0.06,j,0,1,low
83,180,0.06,j,0,0,low
84,0,0.23,j,0,1,high
85,0,0.23,j,0,1,high
86,180,0.07,f,1,1,low
87,180,0.20,f,1,1,high
88,0,0.07,j,0,1,low
89,180,0.06,f,1,1,low
90,0,0.20,j,0,1,high
91,180,0.17,f,1,1,high
92,0,0.06,j,0,1,low
93,0,0.17,j,0,1,high
94,0,0.05,f,1,0,low
95,180,0.06,j,0,0,low
96,180,0.14,f,1,1,high
97,0,0.07,j,0,1,low
98,0,0.14,j,0,1,high
99,0,0.07,f,1,0,low
100,180,0.11,f,1,1,high
101,0,0.08,j,0,1,low
102,180,0.11,f,1,1,high
103,0,0.08,j,0,1,high
104,0,0.08,f,1,0,low
105,180,0.08,f,1,1,high
106,0,0.09,j,0,1,low
107,0,0.05,j,0,1,high
108,0,0.09,j,0,1,low
109,0,0.08,f,1,0,low
110,0,0.05,f,1,0,high
111,180,0.08,f,1,1,high
112,180,0.09,j,0,0,low
113,0,0.08,j,0,1,high
114,180,0.10,f,1,1,low
115,0,0.10,j,0,1,low
116,180,0.06,f,1,1,high
117,0,0.09,j,0,1,low
118,180,0.06,j,0,0,high
119,0,0.08,j,0,1,high
120,0,0.09,j,0,1,low
121,180,0.08,f,1,1,high
122,180,0.08,f,1,1,low
123,180,0.07,f,1,1,high
124,0,0.08,f,1,0,low
125,0,0.09,j,0,1,low
126,180,0.07,f,1,1,high
127,0,0.06,j,0,1,high
128,180,0.09,f,1,1,low
129,180,0.08,f,1,1,low
130,180,0.06,f,1,1,high
131,180,0.08,f,1,1,low
132,180,0.05,j,0,0,high
133,180,0.06,f,1,1,high
134,0,0.07,j,0,1,low
135,180,0.06,j,0,0,high
136,180,0.07,j,0,0,low
137,0,0.08,j,0,1,low
138,0,0.07,j,0,1,high
139,180,0.07,f,1,1,high
140,180,0.08,f,1,1,low
141,180,0.07,f,1,1,low
142,180,0.06,j,0,0,high
143,0,0.07,f,1,0,low
144,0,0.07,f,1,0,high
145,0,0.08,j,0,1,high
146,0,0.08,j,0,1,low
147,180,0.08,j,0,0,low
148,0,0.08,j,0,1,high
149,180,0.09,f,1,1,low
150,180,0.07,j,0,0,high
151,0,0.08,j,0,1,high
152,0,0.09,j,0,1,low
153,0,0.08,f,1,0,low
154,180,0.08,f,1,1,high
155,0,0.07,f,1,0,high
156,180,0.09,j,0,0,low
157,0,0.08,f,1,0,high
158,0,0.10,j,0,1,low
159,180,0.09,f,1,1,high
160,180,0.10,j,0,0,low
161,0,0.09,f,1,0,high
162,180,0.11,j,0,0,low
163,0,0.12,j,0,1,low
164,0,0.10,j,0,1,high
165,180,0.10,j,0,0,high
166,0,0.12,f,1,0,low
167,0,0.11,j,0,1,high
168,0,0.13,j,0,1,low
169,0,0.13,j,0,1,low
170,180,0.11,j,0,0,high
171,180,0.12,f,1,1,high
172,180,0.12,f,1,1,low
173,0,0.12,j,0,1,high
174,180,0.12,f,1,1,low
175,0,0.11,j,0,1,low
176,0,0.11,j,0,1,high
177,180,0.11,f,1,1,high
178,180,0.11,j,0,0,low
179,180,0.10,f,1,1,high
180,180,0.12,j,0,0,low
181,180,0.10,f,1,1,high
182,180,0.13,f,1,1,low
183,0,0.13,j,0,1,low
184,0,0.09,j,0,1,high
185,180,0.12,f,1,1,low
186,180,0.09,f,1,1,high
187,0,0.08,f,1,0,high
188,180,0.12,f,1,1,low
189,0,0.09,f,1,0,high
190,180,0.11,j,0,0,low
191,0,0.10,j,0,1,high
192,0,0.12,j,0,1,low
193,0,0.10,j,0,1,high
194,180,0.12,f,1,1,low
195,180,0.11,f,1,1,low
196,0,0.09,j,0,1,high
197,180,0.11,f,1,1,low
198,180,0.09,f,1,1,high
199,180,0.10,f,1,1,low
200,180,0.08,f,1,1,high
