Trial,Direction,Coherence,Response,ResponseCode,ResponseCorrect,stairCase
1,180,0.05,j,0,0,low
2,180,0.95,f,1,1,high
3,180,0.90,f,1,1,high
4,180,0.10,j,0,0,low
5,0,0.85,j,0,1,high
6,0,0.15,f,1,0,low
7,0,0.20,j,0,1,low
8,0,0.80,j,0,1,high
9,180,0.75,f,1,1,high
10,180,0.15,j,0,0,low
11,0,0.70,f,1,0,high
12,180,0.19,f,1,1,low
13,180,0.19,j,0,0,low
14,180,0.75,f,1,1,high
15,0,0.75,j,0,1,high
16,0,0.23,j,0,1,low
17,0,0.23,j,0,1,low
18,0,0.71,j,0,1,high
19,180,0.19,j,0,0,low
20,180,0.71,f,1,1,high
21,0,0.67,j,0,1,high
22,180,0.22,f,1,1,low
23,0,0.67,j,0,1,high
24,0,0.22,f,1,0,low
25,0,0.25,f,1,0,low
26,0,0.63,j,0,1,high
27,180,0.63,f,1,1,high
28,180,0.28,j,0,0,low
29,0,0.31,j,0,1,low
30,0,0.59,j,0,1,high
31,0,0.31,j,0,1,low
32,180,0.59,f,1,1,high
33,180,0.55,f,1,1,high
34,180,0.28,j,0,0,low
35,0,0.55,j,0,1,high
36,0,0.30,f,1,0,low
37,180,0.32,j,0,0,low
38,180,0.51,f,1,1,high
39,0,0.51,j,0,1,high
40,0,0.34,j,0,1,low
41,0,0.47,j,0,1,high
42,0,0.34,j,0,1,low
43,0,0.32,j,0,1,low
44,0,0.47,j,0,1,high
45,180,0.43,j,0,0,high
46,180,0.32,f,1,1,low
47,180,0.47,f,1,1,high
48,0,0.30,j,0,1,low
49,180,0.47,f,1,1,high
50,180,0.30,j,0,0,low
51,0,0.44,f,1,0,high
52,180,0.31,j,0,0,low
53,0,0.32,f,1,0,low
54,0,0.47,f,1,0,high
55,0,0.50,f,1,0,high
56,0,0.33,j,0,1,low
57,180,0.53,j,0,0,high
58,0,0.33,j,0,1,low
59,180,0.32,j,0,0,low
60,180,0.56,f,1,1,high
61,0,0.33,j,0,1,low
62,180,0.56,j,0,0,high
63,0,0.59,j,0,1,high
64,180,0.33,j,0,0,low
65,180,0.59,f,1,1,high
66,180,0.34,j,0,0,low
67,180,0.57,f,1,1,high
68,0,0.35,j,0,1,low
69,0,0.57,j,0,1,high
70,0,0.35,j,0,1,low
71,180,0.34,j,0,0,low
72,180,0.55,f,1,1,high
73,0,0.55,j,0,1,high
74,0,0.35,j,0,1,low
75,0,0.35,j,0,1,low
76,0,0.53,f,1,0,high
77,0,0.55,j,0,1,high
78,0,0.34,f,1,0,low
79,0,0.55,f,1,0,high
80,180,0.35,f,1,1,low
81,0,0.35,j,0,1,low
82,180,0.57,j,0,0,high
83,180,0.59,j,0,0,high
84,180,0.34,f,1,1,low
85,180,0.61,f,1,1,high
86,180,0.34,f,1,1,low
87,0,0.61,j,0,1,high
88,180,0.33,j,0,0,low
89,0,0.34,f,1,0,low
90,180,0.60,j,0,0,high
91,180,0.61,f,1,1,high
92,180,0.35,j,0,0,low
93,180,0.36,f,1,1,low
94,180,0.61,j,0,0,high
95,180,0.36,j,0,0,low
96,180,0.62,f,1,1,high
97,0,0.37,j,0,1,low
98,180,0.62,f,1,1,high
99,180,0.37,j,0,0,low
100,180,0.61,f,1,1,high
101,0,0.61,j,0,1,high
102,180,0.38,f,1,1,low
103,180,0.60,j,0,0,high
104,180,0.38,f,1,1,low
105,0,0.37,j,0,1,low
106,180,0.61,f,1,1,high
107,180,0.61,j,0,0,high
108,180,0.37,f,1,1,low
109,180,0.36,j,0,0,low
110,0,0.62,j,0,1,high
111,180,0.62,j,0,0,high
112,0,0.37,f,1,0,low
113,180,0.63,j,0,0,high
114,0,0.38,j,0,1,low
115,180,0.38,j,0,0,low
116,180,0.64,f,1,1,high
117,0,0.64,j,0,1,high
118,0,0.39,j,0,1,low
119,0,0.39,j,0,1,low
120,0,0.63,j,0,1,high
121,180,0.63,j,0,0,high
122,0,0.38,j,0,1,low
123,0,0.64,j,0,1,high
124,0,0.38,j,0,1,low
125,0,0.37,f,1,0,low
126,0,0.64,f,1,0,high
127,180,0.38,f,1,1,low
128,0,0.65,j,0,1,high
129,0,0.38,j,0,1,low
130,0,0.65,f,1,0,high
131,0,0.37,f,1,0,low
132,180,0.66,j,0,0,high
133,180,0.67,j,0,0,high
134,180,0.38,f,1,1,low
135,180,0.68,j,0,0,high
136,0,0.38,j,0,1,low
137,180,0.37,f,1,1,low
138,0,0.69,j,0,1,high
139,180,0.69,j,0,0,high
140,180,0.37,j,0,0,low
141,0,0.70,j,0,1,high
142,180,0.38,j,0,0,low
143,0,0.70,f,1,0,high
144,180,0.39,j,0,0,low
145,0,0.71,f,1,0,high
146,180,0.40,j,0,0,low
147,0,0.72,j,0,1,high
148,180,0.41,j,0,0,low
149,180,0.42,j,0,0,low
150,180,0.72,f,1,1,high
151,180,0.71,f,1,1,high
152,180,0.43,f,1,1,low
153,180,0.43,j,0,0,low
154,0,0.71,f,1,0,high
155,180,0.72,j,0,0,high
156,180,0.44,j,0,0,low
157,0,0.73,j,0,1,high
158,180,0.45,j,0,0,low
159,180,0.73,f,1,1,high
160,0,0.46,j,0,1,low
161,180,0.46,j,0,0,low
162,0,0.72,j,0,1,high
163,180,0.72,f,1,1,high
164,0,0.47,j,0,1,low
165,0,0.47,f,1,0,low
166,0,0.71,f,1,0,high
167,180,0.72,f,1,1,high
168,0,0.48,f,1,0,low
169,0,0.72,j,0,1,high
170,180,0.49,f,1,1,low
171,180,0.71,j,0,0,high
172,180,0.49,f,1,1,low
173,0,0.72,j,0,1,high
174,180,0.48,f,1,1,low
175,0,0.72,j,0,1,high
176,180,0.48,j,0,0,low
177,0,0.71,f,1,0,high
178,0,0.49,j,0,1,low
179,180,0.72,f,1,1,high
180,0,0.49,f,1,0,low
181,180,0.50,f,1,1,low
182,180,0.72,j,0,0,high
183,180,0.73,j,0,0,high
184,0,0.50,f,1,0,low
185,180,0.51,f,1,1,low
186,0,0.74,f,1,0,high
187,0,0.51,f,1,0,low
188,0,0.75,j,0,1,high
189,180,0.75,j,0,0,high
190,180,0.52,f,1,1,low
191,180,0.52,j,0,0,low
192,0,0.76,j,0,1,high
193,180,0.53,j,0,0,low
194,180,0.76,j,0,0,high
195,180,0.77,f,1,1,high
196,0,0.54,j,0,1,low
197,180,0.54,j,0,0,low
198,180,0.77,j,0,0,high
199,0,0.78,j,0,1,high
200,180,0.55,j,0,0,low
