Trial,Direction,Coherence,Response,ResponseCode,ResponseCorrect,stairCase
1,180,0.75,j,0,0,high
2,180,0.05,f,1,1,low
3,180,0.01,j,0,0,low
4,180,0.80,f,1,1,high
5,180,0.06,j,0,0,low
6,180,0.75,f,1,1,high
7,0,0.11,j,0,1,low
8,0,0.75,j,0,1,high
9,180,0.70,f,1,1,high
10,180,0.11,f,1,1,low
11,180,0.07,j,0,0,low
12,0,0.70,j,0,1,high
13,0,0.11,j,0,1,low
14,0,0.65,j,0,1,high
15,180,0.65,f,1,1,high
16,180,0.11,f,1,1,low
17,180,0.60,f,1,1,high
18,180,0.08,j,0,0,low
19,180,0.60,f,1,1,high
20,0,0.11,j,0,1,low
21,0,0.55,j,0,1,high
22,0,0.11,j,0,1,low
23,0,0.09,j,0,1,low
24,0,0.55,j,0,1,high
25,180,0.09,f,1,1,low
26,180,0.50,f,1,1,high
27,180,0.07,j,0,0,low
28,180,0.50,f,1,1,high
29,180,0.45,f,1,1,high
30,0,0.09,j,0,1,low
31,180,0.45,f,1,1,high
32,0,0.09,j,0,1,low
33,180,0.40,f,1,1,high
34,0,0.08,f,1,0,low
35,0,0.40,j,0,1,high
36,180,0.09,f,1,1,low
37,180,0.09,f,1,1,low
38,180,0.35,f,1,1,high
39,0,0.08,j,0,1,low
40,0,0.35,j,0,1,high
41,180,0.30,f,1,1,high
42,0,0.08,j,0,1,low
43,180,0.07,f,1,1,low
44,0,0.30,j,0,1,high
45,0,0.25,j,0,1,high
46,180,0.07,f,1,1,low
47,0,0.25,j,0,1,high
48,0,0.06,f,1,0,low
49,180,0.20,f,1,1,high
50,0,0.07,j,0,1,low
51,180,0.07,j,0,0,low
52,0,0.20,j,0,1,high
53,180,0.08,j,0,0,low
54,0,0.15,j,0,1,high
55,0,0.15,j,0,1,high
56,0,0.09,j,0,1,low
57,180,0.10,f,1,1,high
58,180,0.09,j,0,0,low
59,180,0.10,f,1,1,low
60,0,0.10,j,0,1,high
61,0,0.05,j,0,1,high
62,0,0.10,j,0,1,low
63,0,0.05,f,1,0,high
64,0,0.09,j,0,1,low
65,0,0.09,j,0,1,low
66,0,0.09,j,0,1,high
67,0,0.08,f,1,0,low
68,0,0.09,j,0,1,high
69,180,0.09,j,0,0,low
70,0,0.05,j,0,1,high
71,180,0.05,f,1,1,high
72,0,0.10,j,0,1,low
73,0,0.01,j,0,1,high
74,180,0.10,j,0,0,low
75,180,0.11,j,0,0,low
76,180,0.01,j,0,0,high
77,180,0.12,j,0,0,low
78,0,0.04,j,0,1,high
79,0,0.13,j,0,1,low
80,0,0.04,j,0,1,high
81,180,0.01,j,0,0,high
82,180,0.13,j,0,0,low
83,180,0.03,j,0,0,high
84,180,0.14,j,0,0,low
85,180,0.05,f,1,1,high
86,180,0.15,j,0,0,low
87,180,0.16,j,0,0,low
88,180,0.05,j,0,0,high
89,180,0.17,f,1,1,low
90,180,0.07,f,1,1,high
91,180,0.17,f,1,1,low
92,180,0.07,f,1,1,high
93,0,0.05,f,1,0,high
94,180,0.16,j,0,0,low
95,0,0.17,j,0,1,low
96,0,0.06,j,0,1,high
97,180,0.06,f,1,1,high
98,0,0.17,j,0,1,low
99,0,0.16,j,0,1,low
100,0,0.05,j,0,1,high
101,180,0.05,f,1,1,high
102,180,0.16,f,1,1,low
103,180,0.15,f,1,1,low
104,0,0.04,j,0,1,high
105,180,0.15,f,1,1,low
106,0,0.04,j,0,1,high
107,180,0.03,j,0,0,high
108,0,0.14,j,0,1,low
109,0,0.14,f,1,0,low
110,0,0.04,j,0,1,high
111,0,0.04,f,1,0,high
112,0,0.15,j,0,1,low
113,180,0.15,f,1,1,low
114,180,0.05,j,0,0,high
115,180,0.06,f,1,1,high
116,0,0.14,j,0,1,low
117,0,0.14,j,0,1,low
118,0,0.06,f,1,0,high
119,180,0.13,j,0,0,low
120,180,0.07,j,0,0,high
121,0,0.14,j,0,1,low
122,0,0.08,f,1,0,high
123,180,0.14,f,1,1,low
124,180,0.09,f,1,1,high
125,180,0.13,j,0,0,low
