Trial,Direction,Coherence,Response,ResponseCode,ResponseCorrect,stairCase
1,180,0.75,j,0,0,high
2,0,0.05,j,0,1,low
3,180,0.01,j,0,0,low
4,180,0.80,f,1,1,high
5,0,0.75,j,0,1,high
6,180,0.06,j,0,0,low
7,180,0.11,f,1,1,low
8,180,0.75,f,1,1,high
9,0,0.70,j,0,1,high
10,180,0.11,f,1,1,low
11,0,0.70,j,0,1,high
12,180,0.07,f,1,1,low
13,0,0.65,j,0,1,high
14,0,0.07,j,0,1,low
15,0,0.03,j,0,1,low
16,0,0.65,j,0,1,high
17,0,0.03,j,0,1,low
18,180,0.60,f,1,1,high
19,180,0.60,j,0,0,high
20,180,0.01,j,0,0,low
21,180,0.64,f,1,1,high
22,180,0.05,j,0,0,low
23,180,0.64,f,1,1,high
24,180,0.09,f,1,1,low
25,0,0.60,j,0,1,high
26,180,0.09,f,1,1,low
27,0,0.06,j,0,1,low
28,180,0.60,f,1,1,high
29,0,0.06,j,0,1,low
30,0,0.56,j,0,1,high
31,180,0.56,f,1,1,high
32,180,0.03,j,0,0,low
33,180,0.52,f,1,1,high
34,180,0.06,j,0,0,low
35,0,0.09,j,0,1,low
36,0,0.52,j,0,1,high
37,180,0.48,f,1,1,high
38,180,0.09,j,0,0,low
39,0,0.48,j,0,1,high
40,0,0.12,f,1,0,low
41,0,0.44,j,0,1,high
42,180,0.15,f,1,1,low
43,180,0.15,f,1,1,low
44,180,0.44,f,1,1,high
45,180,0.13,f,1,1,low
46,0,0.40,j,0,1,high
47,0,0.40,j,0,1,high
48,0,0.13,j,0,1,low
49,0,0.11,j,0,1,low
50,0,0.36,j,0,1,high
51,180,0.11,j,0,0,low
52,0,0.36,j,0,1,high
53,180,0.32,f,1,1,high
54,0,0.13,j,0,1,low
55,180,0.13,f,1,1,low
56,0,0.32,j,0,1,high
57,180,0.12,j,0,0,low
58,180,0.28,j,0,0,high
59,180,0.31,j,0,0,high
60,180,0.13,f,1,1,low
61,180,0.13,f,1,1,low
62,180,0.34,j,0,0,high
63,180,0.37,f,1,1,high
64,180,0.12,f,1,1,low
65,180,0.37,j,0,0,high
66,180,0.12,j,0,0,low
67,180,0.13,j,0,0,low
68,0,0.40,j,0,1,high
69,180,0.14,j,0,0,low
70,0,0.40,j,0,1,high
71,0,0.37,j,0,1,high
72,180,0.15,j,0,0,low
73,0,0.37,f,1,0,high
74,180,0.16,f,1,1,low
75,180,0.39,f,1,1,high
76,0,0.16,f,1,0,low
77,0,0.39,j,0,1,high
78,180,0.17,f,1,1,low
79,180,0.37,j,0,0,high
80,0,0.17,j,0,1,low
81,180,0.38,j,0,0,high
82,180,0.16,j,0,0,low
83,180,0.17,j,0,0,low
84,0,0.39,f,1,0,high
85,0,0.40,j,0,1,high
86,0,0.18,j,0,1,low
87,0,0.40,j,0,1,high
88,0,0.18,j,0,1,low
89,180,0.17,j,0,0,low
90,180,0.39,j,0,0,high
91,0,0.18,f,1,0,low
92,180,0.40,j,0,0,high
93,180,0.19,j,0,0,low
94,0,0.41,j,0,1,high
95,180,0.41,f,1,1,high
96,180,0.20,j,0,0,low
97,0,0.21,f,1,0,low
98,0,0.40,j,0,1,high
99,0,0.22,j,0,1,low
100,180,0.40,j,0,0,high
101,0,0.41,j,0,1,high
102,0,0.22,j,0,1,low
103,0,0.41,j,0,1,high
104,0,0.21,j,0,1,low
105,0,0.21,f,1,0,low
106,0,0.40,j,0,1,high
107,0,0.22,j,0,1,low
108,180,0.40,f,1,1,high
109,0,0.22,j,0,1,low
110,180,0.39,f,1,1,high
111,0,0.21,j,0,1,low
112,0,0.39,j,0,1,high
113,180,0.21,j,0,0,low
114,0,0.38,j,0,1,high
115,0,0.38,j,0,1,high
116,0,0.22,j,0,1,low
117,180,0.22,f,1,1,low
118,0,0.37,j,0,1,high
119,180,0.21,f,1,1,low
120,180,0.37,f,1,1,high
121,180,0.21,f,1,1,low
122,180,0.36,j,0,0,high
123,180,0.20,f,1,1,low
124,0,0.37,j,0,1,high
125,0,0.37,f,1,0,high
126,0,0.20,f,1,0,low
127,180,0.21,j,0,0,low
128,180,0.38,f,1,1,high
129,180,0.22,j,0,0,low
130,0,0.38,j,0,1,high
131,180,0.37,f,1,1,high
132,180,0.23,f,1,1,low
133,0,0.23,j,0,1,low
134,0,0.37,j,0,1,high
135,0,0.36,f,1,0,high
136,180,0.22,j,0,0,low
137,180,0.37,j,0,0,high
138,180,0.23,j,0,0,low
139,0,0.24,j,0,1,low
140,0,0.38,j,0,1,high
141,180,0.38,f,1,1,high
142,180,0.24,f,1,1,low
143,0,0.23,j,0,1,low
144,0,0.37,j,0,1,high
145,0,0.23,j,0,1,low
146,0,0.37,f,1,0,high
147,0,0.22,j,0,1,low
148,180,0.38,j,0,0,high
149,180,0.22,f,1,1,low
150,180,0.39,f,1,1,high
151,180,0.39,f,1,1,high
152,0,0.21,j,0,1,low
153,180,0.21,j,0,0,low
154,180,0.38,j,0,0,high
155,180,0.22,j,0,0,low
156,0,0.39,j,0,1,high
157,180,0.23,f,1,1,low
158,180,0.39,f,1,1,high
159,180,0.23,f,1,1,low
160,0,0.38,j,0,1,high
161,0,0.22,f,1,0,low
162,180,0.38,j,0,0,high
163,0,0.23,f,1,0,low
164,180,0.39,f,1,1,high
165,180,0.24,f,1,1,low
166,0,0.39,j,0,1,high
167,180,0.24,f,1,1,low
168,0,0.38,j,0,1,high
169,0,0.38,j,0,1,high
170,0,0.23,j,0,1,low
171,180,0.23,j,0,0,low
172,180,0.37,f,1,1,high
173,0,0.24,j,0,1,low
174,180,0.37,f,1,1,high
175,0,0.36,f,1,0,high
176,180,0.24,f,1,1,low
177,180,0.37,j,0,0,high
178,180,0.23,j,0,0,low
179,0,0.38,j,0,1,high
180,0,0.24,j,0,1,low
181,180,0.24,f,1,1,low
182,180,0.38,f,1,1,high
183,0,0.37,j,0,1,high
184,180,0.23,f,1,1,low
185,180,0.23,j,0,0,low
186,180,0.37,f,1,1,high
187,180,0.36,j,0,0,high
188,180,0.24,j,0,0,low
189,180,0.25,f,1,1,low
190,0,0.37,j,0,1,high
191,180,0.37,f,1,1,high
192,180,0.25,j,0,0,low
193,0,0.26,j,0,1,low
194,0,0.36,j,0,1,high
195,0,0.36,j,0,1,high
196,180,0.26,f,1,1,low
197,180,0.35,f,1,1,high
198,0,0.25,j,0,1,low
199,0,0.35,j,0,1,high
200,0,0.25,j,0,1,low
