Trial,Direction,Coherence,Response,ResponseCode,ResponseCorrect,stairCase
1,180,0.65,j,0,0,high
2,0,0.05,j,0,1,low
3,180,0.70,f,1,1,high
4,180,0.01,j,0,0,low
5,0,0.65,j,0,1,high
6,0,0.06,j,0,1,low
7,0,0.06,j,0,1,low
8,180,0.65,f,1,1,high
9,180,0.02,j,0,0,low
10,0,0.60,j,0,1,high
11,0,0.06,f,1,0,low
12,180,0.60,f,1,1,high
13,0,0.55,j,0,1,high
14,180,0.10,j,0,0,low
15,0,0.55,j,0,1,high
16,180,0.14,j,0,0,low
17,180,0.18,j,0,0,low
18,180,0.50,j,0,0,high
19,0,0.22,j,0,1,low
20,180,0.54,f,1,1,high
21,0,0.22,j,0,1,low
22,180,0.54,f,1,1,high
23,0,0.50,j,0,1,high
24,0,0.19,j,0,1,low
25,0,0.50,j,0,1,high
26,180,0.19,f,1,1,low
27,0,0.46,j,0,1,high
28,0,0.16,f,1,0,low
29,180,0.19,j,0,0,low
30,180,0.46,f,1,1,high
31,180,0.22,j,0,0,low
32,180,0.42,f,1,1,high
33,180,0.42,j,0,0,high
34,180,0.25,f,1,1,low
35,0,0.45,j,0,1,high
36,180,0.25,f,1,1,low
37,180,0.23,j,0,0,low
38,0,0.45,j,0,1,high
39,180,0.42,f,1,1,high
40,0,0.25,j,0,1,low
41,180,0.25,j,0,0,low
42,0,0.42,j,0,1,high
43,180,0.27,j,0,0,low
44,180,0.39,f,1,1,high
45,180,0.39,j,0,0,high
46,0,0.29,j,0,1,low
47,180,0.29,j,0,0,low
48,0,0.41,j,0,1,high
49,0,0.31,j,0,1,low
50,180,0.41,f,1,1,high
51,0,0.31,j,0,1,low
52,180,0.39,j,0,0,high
53,180,0.30,j,0,0,low
54,180,0.40,j,0,0,high
55,180,0.31,j,0,0,low
56,180,0.41,f,1,1,high
57,0,0.32,j,0,1,low
58,180,0.41,f,1,1,high
59,0,0.40,j,0,1,high
60,180,0.32,j,0,0,low
61,0,0.40,j,0,1,high
62,180,0.33,f,1,1,low
63,0,0.33,j,0,1,low
64,0,0.39,f,1,0,high
65,180,0.32,j,0,0,low
66,0,0.40,j,0,1,high
67,0,0.33,j,0,1,low
68,0,0.40,j,0,1,high
69,180,0.39,f,1,1,high
70,180,0.33,f,1,1,low
71,0,0.32,j,0,1,low
72,180,0.39,f,1,1,high
73,0,0.32,j,0,1,low
74,180,0.38,f,1,1,high
75,180,0.31,f,1,1,low
76,0,0.38,j,0,1,high
77,180,0.37,f,1,1,high
78,0,0.31,j,0,1,low
79,0,0.30,j,0,1,low
80,180,0.37,f,1,1,high
81,180,0.36,f,1,1,high
82,0,0.30,j,0,1,low
83,180,0.29,f,1,1,low
84,180,0.36,f,1,1,high
85,0,0.35,j,0,1,high
86,180,0.29,f,1,1,low
87,180,0.28,f,1,1,low
88,0,0.35,j,0,1,high
89,180,0.34,f,1,1,high
90,0,0.28,j,0,1,low
91,0,0.34,j,0,1,high
92,180,0.27,f,1,1,low
93,180,0.27,f,1,1,low
94,0,0.33,j,0,1,high
95,180,0.26,f,1,1,low
96,180,0.33,f,1,1,high
97,180,0.32,f,1,1,high
98,180,0.26,f,1,1,low
99,180,0.25,j,0,0,low
100,180,0.32,f,1,1,high
101,0,0.26,j,0,1,low
102,0,0.31,j,0,1,high
103,0,0.26,j,0,1,low
104,0,0.31,j,0,1,high
105,180,0.30,f,1,1,high
106,180,0.25,j,0,0,low
107,0,0.26,j,0,1,low
108,180,0.30,f,1,1,high
109,0,0.26,j,0,1,low
110,180,0.29,j,0,0,high
111,0,0.30,f,1,0,high
112,180,0.25,f,1,1,low
113,0,0.25,j,0,1,low
114,0,0.31,j,0,1,high
115,0,0.31,j,0,1,high
116,0,0.24,j,0,1,low
117,180,0.30,f,1,1,high
118,180,0.24,j,0,0,low
119,0,0.30,f,1,0,high
120,0,0.25,j,0,1,low
121,0,0.31,j,0,1,high
122,0,0.25,f,1,0,low
123,0,0.26,f,1,0,low
124,0,0.31,j,0,1,high
125,0,0.30,f,1,0,high
126,180,0.27,f,1,1,low
127,0,0.31,j,0,1,high
128,0,0.27,j,0,1,low
129,180,0.26,f,1,1,low
130,180,0.31,f,1,1,high
131,0,0.30,j,0,1,high
132,0,0.26,j,0,1,low
133,0,0.30,j,0,1,high
134,180,0.25,f,1,1,low
135,0,0.25,j,0,1,low
136,0,0.29,j,0,1,high
137,0,0.24,j,0,1,low
138,180,0.29,f,1,1,high
139,0,0.28,j,0,1,high
140,180,0.24,f,1,1,low
141,0,0.28,j,0,1,high
142,0,0.23,j,0,1,low
143,0,0.23,j,0,1,low
144,180,0.27,j,0,0,high
145,180,0.28,f,1,1,high
146,0,0.22,j,0,1,low
147,0,0.22,j,0,1,low
148,0,0.28,j,0,1,high
149,180,0.27,f,1,1,high
150,0,0.21,j,0,1,low
151,180,0.21,f,1,1,low
152,180,0.27,f,1,1,high
153,0,0.20,j,0,1,low
154,0,0.26,j,0,1,high
155,180,0.20,f,1,1,low
156,0,0.26,j,0,1,high
157,0,0.25,j,0,1,high
158,180,0.19,f,1,1,low
159,180,0.19,f,1,1,low
160,0,0.25,j,0,1,high
161,0,0.18,j,0,1,low
162,0,0.24,j,0,1,high
163,180,0.24,f,1,1,high
164,180,0.18,j,0,0,low
165,0,0.19,f,1,0,low
166,180,0.23,f,1,1,high
167,0,0.23,j,0,1,high
168,180,0.20,f,1,1,low
169,180,0.22,f,1,1,high
170,180,0.20,j,0,0,low
171,0,0.22,j,0,1,high
172,180,0.21,f,1,1,low
173,180,0.21,f,1,1,high
174,180,0.21,f,1,1,low
175,180,0.20,j,0,0,low
176,180,0.21,j,0,0,high
177,0,0.21,j,0,1,low
178,180,0.22,j,0,0,high
179,180,0.21,j,0,0,low
180,0,0.23,j,0,1,high
181,180,0.22,f,1,1,low
182,0,0.23,j,0,1,high
183,180,0.22,f,1,1,low
184,180,0.22,f,1,1,high
185,180,0.21,f,1,1,low
186,180,0.22,f,1,1,high
187,0,0.21,j,0,1,high
188,0,0.21,j,0,1,low
189,0,0.21,f,1,0,high
190,180,0.20,f,1,1,low
191,0,0.22,j,0,1,high
192,180,0.20,f,1,1,low
193,0,0.19,j,0,1,low
194,0,0.22,j,0,1,high
195,0,0.19,j,0,1,low
196,0,0.21,j,0,1,high
197,0,0.18,j,0,1,low
198,0,0.21,j,0,1,high
199,0,0.18,j,0,1,low
200,180,0.20,f,1,1,high
201,0,0.20,j,0,1,high
202,180,0.17,f,1,1,low
203,180,0.17,f,1,1,low
204,0,0.19,j,0,1,high
205,180,0.19,f,1,1,high
206,0,0.16,j,0,1,low
207,0,0.16,j,0,1,low
208,0,0.18,j,0,1,high
209,180,0.15,j,0,0,low
210,0,0.18,j,0,1,high
211,0,0.16,f,1,0,low
212,0,0.17,j,0,1,high
213,0,0.17,j,0,1,high
214,180,0.17,j,0,0,low
215,180,0.16,j,0,0,high
216,180,0.18,j,0,0,low
217,180,0.17,j,0,0,high
218,0,0.19,f,1,0,low
219,0,0.18,f,1,0,high
220,180,0.20,j,0,0,low
221,180,0.19,j,0,0,high
222,0,0.21,j,0,1,low
223,180,0.20,j,0,0,high
224,180,0.21,j,0,0,low
225,0,0.21,f,1,0,high
226,180,0.22,f,1,1,low
227,180,0.22,j,0,0,low
228,180,0.22,j,0,0,high
229,180,0.23,j,0,0,low
230,0,0.23,j,0,1,high
231,180,0.23,j,0,0,high
232,180,0.24,j,0,0,low
233,180,0.25,j,0,0,low
234,180,0.24,j,0,0,high
235,180,0.25,j,0,0,high
236,0,0.26,j,0,1,low
